zip,lat,lon,city,county,state house dist,state senate dist,congressional dist,population
54949,44.488057,-88.926954,Manawa,Waupaca County,Assembly District 40,State Senate District 14,WI8,3379
54013,45.060365,-92.248403,Glenwood City,St. Croix County,Assembly District 29,State Senate District 10,WI7,3349
53910,43.892066,-89.827509,Adams,Adams County,Assembly District 41,State Senate District 14,WI3,3345
54945,44.572209,-89.071142,Iola,Waupaca County,Assembly District 40,State Senate District 14,WI8,3338
53004,43.499631,-87.918042,Belgium,Ozaukee County,Assembly District 60,State Senate District 20,WI6,3334
54135,44.88646,-88.575133,Keshena,Menominee County,Assembly District 36,State Senate District 12,WI8,3332
53013,43.590548,-87.85532,Cedar Grove,Sheboygan County,Assembly District 26,State Senate District 9,WI6,3326
53048,43.59138,-88.44371,Lomira,Dodge County,Assembly District 39,State Senate District 13,WI6,3314
53058,43.109127,-88.40248,Nashotah,Waukesha County,Assembly District 99,State Senate District 33,WI5,3313
53811,42.543893,-90.536322,Hazel Green,Grant County,Assembly District 49,State Senate District 17,WI3,3297
54738,44.5758,-91.47016,Eleva,Trempealeau County,Assembly District 92,State Senate District 31,WI3,3274
53075,43.582924,-88.000555,Random Lake,Sheboygan County,Assembly District 26,State Senate District 9,WI6,3251
54151,45.77135,-87.99485,Niagara,Marinette County,Assembly District 36,State Senate District 12,WI8,3238
53956,43.534002,-88.946714,Randolph,Dodge County,Assembly District 42,State Senate District 14,WI6,3228
54139,44.9511,-88.04677,Lena,Oconto County,Assembly District 36,State Senate District 12,WI8,3221
53952,43.78137,-89.57262,Oxford,Marquette County,Assembly District 41,State Senate District 14,WI3,3219
53941,43.5822,-90.12818,La Valle,Sauk County,Assembly District 50,State Senate District 17,WI2,3135
54984,44.168882,-89.223228,Wild Rose,Waushara County,Assembly District 40,State Senate District 14,WI6,3121
53573,43.1234,-90.488423,Muscoda,Grant County,Assembly District 49,State Senate District 17,WI3,3119
54005,45.25191,-92.2713,Clear Lake,Polk County,Assembly District 75,State Senate District 25,WI7,3107
54446,44.73691,-90.49597,Loyal,Clark County,Assembly District 69,State Senate District 23,WI7,3092
54405,44.94636,-90.31597,Abbotsford,Marathon County,Assembly District 69,State Senate District 23,WI7,3061
54437,44.77024,-90.59931,Greenwood,Clark County,Assembly District 68,State Senate District 23,WI7,3049
54129,44.146516,-88.195124,Hilbert,Calumet County,Assembly District 3,State Senate District 1,WI8,3047
54121,45.845525,-88.284254,Florence,Florence County,Assembly District 34,State Senate District 12,WI7,3021
54174,45.111843,-88.418694,Suring,Oconto County,Assembly District 36,State Senate District 12,WI8,3008
54871,45.73939,-91.92545,Shell Lake,Washburn County,Assembly District 75,State Senate District 25,WI7,3002
53036,43.147748,-88.588628,Ixonia,Jefferson County,Assembly District 37,State Senate District 13,WI5,2994
54732,45.125153,-91.170922,Cornell,Chippewa County,Assembly District 67,State Senate District 23,WI7,2989
54499,44.8272,-89.16956,Wittenberg,Shawano County,Assembly District 6,State Senate District 2,WI8,2984
53156,42.893937,-88.59712,Palmyra,Jefferson County,Assembly District 33,State Senate District 11,WI5,2973
54440,44.88747,-89.33873,Hatley,Marathon County,Assembly District 85,State Senate District 29,WI7,2962
54538,45.9696,-89.89948,Lac Du Flambeau,Vilas County,Assembly District 74,State Senate District 25,WI7,2961
53049,43.875302,-88.287108,Malone,Fond Du Lac County,Assembly District 52,State Senate District 18,WI6,2960
53183,43.003573,-88.376916,Wales,Waukesha County,Assembly District 99,State Senate District 33,WI1,2945
54873,46.417261,-91.810992,Solon Springs,Douglas County,Assembly District 73,State Senate District 25,WI7,2905
53114,42.60168,-88.7076,Darien,Walworth County,Assembly District 31,State Senate District 11,WI1,2901
54725,45.075804,-92.013036,Boyceville,Dunn County,Assembly District 67,State Senate District 23,WI3,2866
53191,42.57807,-88.54093,Williams Bay,Walworth County,Assembly District 31,State Senate District 11,WI1,2850
54830,45.972603,-92.292996,Danbury,Burnett County,Assembly District 73,State Senate District 25,WI7,2807
54161,45.117544,-87.977136,Pound,Marinette County,Assembly District 36,State Senate District 12,WI8,2792
54666,44.13107,-90.49985,Warrens,Monroe County,Assembly District 70,State Senate District 24,WI7,2786
54177,45.383307,-87.876231,Wausaukee,Marinette County,Assembly District 36,State Senate District 12,WI8,2785
54169,44.1736,-88.25983,Sherwood,Calumet County,Assembly District 3,State Senate District 1,WI8,2776
