ZIP,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,State Legislative District House,State Legislative District Senate,Congressional District,Congress,population
53208,43.045962,-87.963536,1,place,,,,,Milwaukee,WI,Milwaukee County,53208,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 18,State Senate District 6,WI4,117th,"30,161"
54880,46.574982,-92.117578,1,place,,,,,Superior,WI,Douglas County,54880,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 73,State Senate District 25,WI7,117th,"29,914"
53105,42.692103,-88.228793,1,place,,,,,Burlington,WI,Racine County,53105,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 63,State Senate District 21,WI1,117th,"29,781"
53140,42.622449,-87.830375,1,place,,,,,Kenosha,WI,Kenosha County,53140,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 64,State Senate District 22,WI1,117th,"29,671"
53223,43.162959,-87.977896,1,place,,,,,Milwaukee,WI,Milwaukee County,53223,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 11,State Senate District 4,WI4,117th,"29,244"
53217,43.157299,-87.913268,1,place,,,,,Milwaukee,WI,Milwaukee County,53217,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 24,State Senate District 8,WI4,117th,"28,661"
54481,44.510664,-89.638254,1,place,,,,,Stevens Point,WI,Portage County,54481,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 71,State Senate District 24,WI3,117th,"28,614"
53213,43.048802,-88.001511,1,place,,,,,Milwaukee,WI,Milwaukee County,53213,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 13,State Senate District 5,WI5,117th,"27,667"
54303,44.552247,-88.078803,1,place,,,,,Green Bay,WI,Brown County,54303,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 4,State Senate District 2,WI8,117th,"27,416"
53095,43.422223,-88.195862,1,place,,,,,West Bend,WI,Washington County,53095,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 58,State Senate District 20,WI5,117th,"27,351"
54304,44.497541,-88.032443,1,place,,,,,Green Bay,WI,Brown County,54304,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 90,State Senate District 30,WI8,117th,"27,315"
54952,44.20104,-88.329484,1,place,,,,,Menasha,WI,Calumet County,54952,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 3,State Senate District 1,WI8,117th,"27,071"
53210,43.071111,-87.973786,1,place,,,,,Milwaukee,WI,Milwaukee County,53210,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 18,State Senate District 6,WI4,117th,"26,793"
53189,42.95163,-88.296321,1,place,,,,,Waukesha,WI,Waukesha County,53189,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 97,State Senate District 33,WI1,117th,"26,762"
54494,44.340837,-89.73492,1,place,,,,,Wisconsin Rapids,WI,Wood County,54494,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 72,State Senate District 24,WI3,117th,"26,577"
53225,43.115159,-88.040188,1,place,,,,,Milwaukee,WI,Milwaukee County,53225,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 12,State Senate District 4,WI4,117th,"26,551"
53144,42.618427,-87.948079,1,place,,,,,Kenosha,WI,Kenosha County,53144,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 61,State Senate District 21,WI1,117th,"26,459"
53222,43.082161,-88.036938,1,place,,,,,Milwaukee,WI,Milwaukee County,53222,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 14,State Senate District 5,WI4,117th,"26,367"
53220,42.955864,-87.993285,1,place,,,,,Milwaukee,WI,Milwaukee County,53220,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 84,State Senate District 28,WI5,117th,"26,360"
54911,44.275702,-88.370856,1,place,,,,,Appleton,WI,Outagamie County,54911,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 56,State Senate District 19,WI8,117th,"26,348"
53403,42.684188,-87.815533,1,place,,,,,Racine,WI,Racine County,53403,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 66,State Senate District 22,WI1,117th,"26,339"
53562,43.114772,-89.529153,1,place,,,,,Middleton,WI,Dane County,53562,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 79,State Senate District 27,WI2,117th,"26,335"
53406,42.72993,-87.866213,1,place,,,,,Racine,WI,Racine County,53406,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 63,State Senate District 21,WI1,117th,"26,160"
54751,44.867809,-91.943198,1,place,,,,,Menomonie,WI,Dunn County,54751,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 29,State Senate District 10,WI3,117th,"26,011"
53072,43.080185,-88.264875,1,place,,,,,Pewaukee,WI,Waukesha County,53072,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 98,State Senate District 33,WI5,117th,"25,984"
54130,44.27804,-88.27205,1,place,,,,,Kaukauna,WI,Outagamie County,54130,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 5,State Senate District 2,WI8,117th,"25,837"
53150,42.88799,-88.132708,1,place,,,,,Muskego,WI,Waukesha County,53150,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 83,State Senate District 28,WI1,117th,"25,824"
53705,43.073147,-89.45681,1,place,,,,,Madison,WI,Dane County,53705,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 77,State Senate District 26,WI2,117th,"25,643"
54449,44.589394,-90.190595,1,place,,,,,Marshfield,WI,Wood County,54449,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 70,State Senate District 24,WI7,117th,"25,574"
53405,42.731827,-87.820925,1,place,,,,,Racine,WI,Racine County,53405,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 62,State Senate District 21,WI1,117th,"25,441"
53202,43.043213,-87.894734,1,place,,,,,Milwaukee,WI,Milwaukee County,53202,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 19,State Senate District 7,WI4,117th,"24,921"
54650,43.886664,-91.130399,1,place,,,,,Onalaska,WI,La Crosse County,54650,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 94,State Senate District 32,WI3,117th,"24,602"
54403,44.952863,-89.531804,1,place,,,,,Wausau,WI,Marathon County,54403,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 85,State Senate District 29,WI7,117th,"24,525"
53593,42.995697,-89.566512,1,place,,,,,Verona,WI,Dane County,53593,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 79,State Senate District 27,WI2,117th,"23,676"
53227,43.000926,-88.031418,1,place,,,,,Milwaukee,WI,Milwaukee County,53227,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 15,State Senate District 5,WI5,117th,"23,609"
54022,44.802351,-92.595365,1,place,,,,,River Falls,WI,Pierce County,54022,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 30,State Senate District 10,WI3,117th,"23,537"
53027,43.357616,-88.319032,1,place,,,,,Hartford,WI,Washington County,53027,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 59,State Senate District 20,WI5,117th,"23,279"
53545,42.738888,-89.0403,1,place,,,,,Janesville,WI,Rock County,53545,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 43,State Senate District 15,WI2,117th,"23,208"
53143,42.561312,-87.82993,1,place,,,,,Kenosha,WI,Kenosha County,53143,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 65,State Senate District 22,WI1,117th,"23,115"
53916,43.466482,-88.862852,1,place,,,,,Beaver Dam,WI,Dodge County,53916,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 39,State Senate District 13,WI6,117th,"22,552"
53206,43.074311,-87.933135,1,place,,,,,Milwaukee,WI,Milwaukee County,53206,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 10,State Senate District 4,WI4,117th,"22,520"
54902,43.99461,-88.526025,1,place,,,,,Oshkosh,WI,Winnebago County,54902,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 54,State Senate District 18,WI6,117th,"22,415"
53224,43.16333,-88.039699,1,place,,,,,Milwaukee,WI,Milwaukee County,53224,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 12,State Senate District 4,WI4,117th,"22,308"
53713,43.037167,-89.397066,1,place,,,,,Madison,WI,Dane County,53713,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 77,State Senate District 26,WI2,117th,"22,255"
53090,43.443839,-88.19631,1,place,,,,,West Bend,WI,Washington County,53090,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 58,State Senate District 20,WI5,117th,"21,687"
54904,44.0234,-88.623839,1,place,,,,,Oshkosh,WI,Winnebago County,54904,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 53,State Senate District 18,WI6,117th,"21,517"
53029,43.123679,-88.336087,1,place,,,,,Hartland,WI,Waukesha County,53029,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 99,State Senate District 33,WI5,117th,"21,514"
54913,44.345553,-88.434297,1,place,,,,,Appleton,WI,Outagamie County,54913,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 5,State Senate District 2,WI8,117th,"21,510"
54301,44.480778,-88.016063,1,place,,,,,Green Bay,WI,Brown County,54301,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 4,State Senate District 2,WI8,117th,"21,501"
