ZIP,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,State Legislative District House,State Legislative District Senate,Congressional District,Congress
53015,43.91499,-87.74731,1,place,,,,,Cleveland,WI,Manitowoc County,53015,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 27,State Senate District 9,WI6,117th
53932,43.417126,-89.070459,1,place,,,,,Fall River,WI,Columbia County,53932,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 42,State Senate District 14,WI6,117th
54473,44.605786,-89.356834,1,place,,,,,Rosholt,WI,Portage County,54473,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 71,State Senate District 24,WI3,117th
54460,44.94858,-90.5643,1,place,,,,,Owen,WI,Clark County,54460,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 69,State Senate District 23,WI7,117th
54616,44.251701,-91.264753,1,place,,,,,Blair,WI,Trempealeau County,54616,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 92,State Senate District 31,WI3,117th
54889,45.400115,-92.074695,1,place,,,,,Turtle Lake,WI,Barron County,54889,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 75,State Senate District 25,WI7,117th
53929,43.7408,-90.27235,1,place,,,,,Elroy,WI,Juneau County,53929,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 50,State Senate District 17,WI3,117th
53556,43.241475,-90.265197,1,place,,,,,Lone Rock,WI,Richland County,53556,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 51,State Senate District 17,WI2,117th
54009,45.36179,-92.549952,1,place,,,,,Dresser,WI,Polk County,54009,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 28,State Senate District 10,WI7,117th
54629,44.170774,-91.674962,1,place,,,,,Fountain City,WI,Buffalo County,54629,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 92,State Senate District 31,WI3,117th
54658,43.669102,-91.134346,1,place,,,,,Stoddard,WI,Vernon County,54658,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 96,State Senate District 32,WI3,117th
54410,44.535658,-90.007245,1,place,,,,,Arpin,WI,Wood County,54410,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 70,State Senate District 24,WI7,117th
53502,42.712827,-89.45123,1,place,,,,,Albany,WI,Green County,53502,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 45,State Senate District 15,WI2,117th
54747,44.356483,-91.443718,1,place,,,,,Independence,WI,Trempealeau County,54747,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 92,State Senate District 31,WI3,117th
54960,43.922097,-89.310982,1,place,,,,,Neshkoro,WI,Marquette County,54960,US,TIGER/Line® dataset from the US Census Bureau,Assembly District 41,State Senate District 14,WI6,117th
